Age,Attrition,BusinessTravel_FK,DailyRate,Department_FK,DistanceFromHome,Education,EducationField_FK,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender_FK,HourlyRate,JobInvolvement,JobLevel,JobRole_FK,JobSatisfaction,MaritalStatus_FK,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumberProjects,WorkAccident
40,No,1002,630,2002,4,4,3002,1,215,3,4001,67,2,3,5007,4,6001,10855,8552,7,Y,No,11,3,1,80,1,15,2,2,12,11,2,11,2,0
34,No,1001,303,2002,2,4,3002,1,216,3,4000,75,3,1,5008,3,6001,2231,11314,6,Y,No,18,3,4,80,1,6,3,3,4,3,1,2,2,0
22,No,1002,1256,2001,19,1,3003,1,217,3,4001,80,3,1,5006,4,6001,2323,11992,1,Y,No,24,4,1,80,2,2,6,3,2,2,2,2,7,0
27,No,1000,691,2001,9,3,3003,1,218,4,4001,57,3,1,5006,2,6000,2024,5970,6,Y,No,18,3,4,80,1,6,1,1,2,2,2,2,5,0
28,No,1002,440,2001,21,3,3003,1,221,3,4001,42,3,1,5006,4,6001,2713,6672,1,Y,No,11,3,3,80,1,5,2,1,5,2,0,2,2,0
57,No,1002,334,2001,24,2,3001,1,223,3,4001,83,4,3,5000,4,6000,9439,23402,3,Y,Yes,16,3,2,80,1,12,2,1,5,3,1,4,5,0
27,No,1000,1450,2001,3,3,3003,1,224,3,4001,79,2,1,5006,3,6000,2566,25326,1,Y,Yes,15,3,4,80,1,1,2,2,1,1,0,1,5,0
50,No,1002,1452,2001,11,3,3001,1,226,3,4000,53,3,5,5003,2,6002,19926,17053,3,Y,No,15,3,2,80,0,21,5,3,5,4,4,4,7,0
41,No,1002,465,2001,14,3,3001,1,227,1,4001,56,3,1,5006,3,6000,2451,4609,4,Y,No,12,3,1,80,1,13,2,3,9,8,1,8,2,0
30,No,1002,1339,2002,5,3,3001,1,228,2,4000,41,3,3,5007,4,6001,9419,8053,2,Y,No,12,3,3,80,1,12,2,3,10,9,7,4,5,0
38,No,1002,702,2002,1,4,3001,1,230,1,4000,59,2,2,5007,4,6002,8686,12930,4,Y,No,22,4,3,80,0,12,2,4,8,3,0,7,2,0
32,No,1002,120,2001,6,5,3001,1,231,3,4001,43,3,1,5006,3,6002,3038,12430,3,Y,No,20,4,1,80,0,8,2,3,5,4,1,4,2,0
27,No,1002,1157,2001,17,3,3005,1,233,3,4001,51,3,1,5006,2,6001,3058,13364,0,Y,Yes,16,3,4,80,1,6,3,2,5,2,1,1,4,0
19,Yes,1001,602,2002,1,1,3005,1,235,3,4000,100,1,1,5008,1,6002,2325,20989,0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0,2,0
36,No,1001,1480,2001,3,2,3003,1,238,4,4001,30,3,1,5002,2,6002,2088,15062,4,Y,No,12,3,3,80,0,13,3,2,8,7,7,2,7,0
30,No,1000,111,2001,9,3,3003,1,239,3,4001,66,3,2,5002,1,6000,3072,11012,1,Y,No,11,3,3,80,2,12,4,3,12,9,6,10,6,0
45,No,1002,1268,2002,4,2,3001,1,240,3,4000,30,3,2,5007,1,6000,5006,6319,4,Y,Yes,11,3,1,80,1,9,3,4,5,4,0,3,2,0
56,No,1002,713,2001,8,3,3001,1,241,3,4000,67,3,1,5006,1,6000,4257,13939,4,Y,Yes,18,3,3,80,1,19,3,3,2,2,2,2,4,0
33,No,1002,134,2001,2,3,3001,1,242,3,4001,90,3,1,5006,4,6002,2500,10515,0,Y,No,14,3,1,80,0,4,2,4,3,1,0,2,2,0
19,Yes,1002,303,2001,2,3,3001,1,243,2,4001,47,2,1,5002,4,6002,1102,9241,1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0,2,0
46,No,1002,526,2002,1,2,3002,1,244,2,4000,92,3,3,5007,1,6000,10453,2137,1,Y,No,25,4,3,80,3,24,2,3,24,13,15,7,2,0
38,No,1002,1380,2001,9,2,3001,1,245,3,4000,75,3,1,5002,4,6002,2288,6319,1,Y,No,12,3,3,80,0,2,3,3,2,2,2,1,6,0
31,No,1002,140,2001,12,1,3003,1,246,3,4000,95,3,1,5006,4,6001,3929,6984,8,Y,Yes,23,4,3,80,1,7,0,3,4,2,0,2,2,0
34,No,1002,629,2001,27,2,3003,1,247,4,4000,95,3,1,5006,2,6002,2311,5711,2,Y,No,15,3,4,80,0,9,3,3,3,2,1,2,6,0
41,Yes,1002,1356,2002,20,2,3002,1,248,2,4000,70,3,1,5008,2,6002,3140,21728,1,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,5,0
50,No,1002,328,2001,1,3,3003,1,249,3,4001,86,2,1,5002,3,6001,3690,3425,2,Y,No,15,3,4,80,1,5,2,2,3,2,0,2,6,0
53,No,1002,1084,2001,13,2,3003,1,250,4,4000,57,4,2,5004,1,6000,4450,26250,1,Y,No,11,3,3,80,2,5,3,3,4,2,1,3,2,0
33,No,1002,931,2001,14,3,3003,1,252,4,4000,72,3,1,5006,2,6001,2756,4673,1,Y,No,13,3,4,80,1,8,5,3,8,7,1,6,2,0
40,No,1002,989,2001,4,1,3003,1,253,4,4000,46,3,5,5003,3,6001,19033,6499,1,Y,No,14,3,2,80,1,21,2,3,20,8,9,9,6,0
55,No,1002,692,2001,14,4,3003,1,254,3,4001,61,4,5,5005,2,6002,18722,13339,8,Y,No,11,3,4,80,0,36,3,3,24,15,2,15,2,0
34,No,1001,1069,2001,2,1,3001,1,256,4,4001,45,2,2,5004,3,6001,9547,14074,1,Y,No,17,3,3,80,0,10,2,2,10,9,1,9,2,0
51,No,1002,313,2001,3,3,3003,1,258,4,4000,98,3,4,5000,2,6002,13734,7192,3,Y,No,18,3,3,80,0,21,6,3,7,7,1,0,2,0
52,No,1002,699,2001,1,4,3001,1,259,3,4001,65,2,5,5003,3,6001,19999,5678,0,Y,No,14,3,1,80,1,34,5,3,33,18,11,9,7,0
27,No,1002,894,2001,9,3,3003,1,260,4,4000,99,3,1,5006,2,6002,2279,11781,1,Y,No,16,3,4,80,0,7,2,2,7,7,0,3,4,1
35,Yes,1002,556,2001,23,2,3001,1,261,2,4001,50,2,2,5004,3,6001,5916,15497,3,Y,Yes,13,3,1,80,0,8,1,3,1,0,0,1,4,0
43,No,1000,1344,2001,7,3,3003,1,262,4,4001,37,4,1,5006,4,6000,2089,5228,4,Y,No,14,3,4,80,3,7,3,4,5,4,2,2,6,0
45,No,1000,1195,2001,2,2,3003,1,264,1,4001,65,2,4,5003,4,6001,16792,20462,9,Y,No,23,4,4,80,1,22,1,3,20,8,11,8,4,0
37,No,1002,290,2001,21,3,3001,1,267,2,4001,65,4,1,5006,1,6001,3564,22977,1,Y,Yes,12,3,1,80,1,8,3,2,8,7,1,7,6,0
35,No,1001,138,2001,2,3,3003,1,269,2,4000,37,3,2,5002,2,6002,4425,15986,5,Y,No,11,3,4,80,0,10,5,3,6,2,1,2,7,0
42,No,1000,926,2001,21,2,3003,1,270,3,4000,36,3,2,5004,3,6000,5265,16439,2,Y,No,16,3,2,80,1,11,5,3,5,3,0,2,6,0
38,No,1002,1261,2001,2,4,3001,1,271,4,4001,88,3,2,5004,3,6001,6553,7259,9,Y,No,14,3,2,80,0,14,3,3,1,0,0,0,7,0
38,No,1002,1084,2001,29,3,3005,1,273,4,4001,54,3,2,5004,4,6001,6261,4185,3,Y,No,18,3,1,80,1,9,3,1,7,7,1,7,5,0
27,No,1001,472,2001,1,1,3005,1,274,3,4001,60,2,2,5004,1,6001,4298,9679,5,Y,No,19,3,3,80,1,6,1,3,2,2,2,0,5,0
49,No,1000,1002,2001,18,4,3001,1,275,4,4001,92,3,2,5004,4,6000,6804,23793,1,Y,Yes,15,3,1,80,2,7,0,3,7,7,1,7,2,0
34,No,1001,878,2001,10,4,3003,1,277,4,4001,43,3,1,5006,3,6000,3815,5972,1,Y,Yes,17,3,4,80,1,5,4,4,5,3,2,0,5,0
40,No,1002,905,2001,19,2,3003,1,281,3,4001,99,3,2,5002,4,6001,2741,16523,8,Y,Yes,15,3,3,80,1,15,2,4,7,2,3,7,6,0
38,Yes,1002,1180,2001,29,1,3003,1,282,2,4001,70,3,2,5000,1,6001,6673,11354,7,Y,Yes,19,3,2,80,0,17,2,3,1,0,0,0,5,0
29,Yes,1002,121,2002,27,3,3002,1,283,2,4000,35,3,3,5007,4,6001,7639,24525,1,Y,No,22,4,4,80,3,10,3,2,10,4,1,9,2,0
22,No,1002,1136,2001,5,3,3001,1,284,4,4001,60,4,1,5006,2,6000,2328,12392,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,2,5,0
36,No,1001,635,2001,18,1,3003,1,286,2,4000,73,3,1,5002,4,6002,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7,4,0
40,No,1000,1151,2001,9,5,3001,1,287,4,4001,63,2,2,5000,4,6001,4876,14242,9,Y,No,14,3,4,80,1,5,5,1,3,2,0,2,2,0
46,No,1002,644,2001,1,4,3003,1,288,4,4001,97,3,3,5000,1,6000,9396,12368,7,Y,No,16,3,3,80,1,17,3,3,4,2,0,3,2,0
32,Yes,1002,1045,2002,4,4,3003,1,291,4,4001,32,1,3,5007,4,6001,10400,25812,1,Y,No,11,3,3,80,0,14,2,2,14,8,9,8,2,0
30,No,1000,829,2001,1,1,3001,1,292,3,4001,88,2,3,5004,3,6002,8474,20925,1,Y,No,22,4,3,80,0,12,2,3,11,8,5,8,4,0
27,No,1001,1242,2002,20,3,3001,1,293,4,4000,90,3,2,5007,3,6002,9981,12916,1,Y,No,14,3,4,80,0,7,2,3,7,7,0,7,5,0
51,No,1002,1469,2001,8,4,3001,1,296,2,4001,81,2,3,5005,2,6001,12490,15736,5,Y,No,16,3,4,80,2,16,5,1,10,9,4,7,2,0
30,Yes,1002,1005,2001,3,3,3005,1,297,4,4000,88,3,1,5006,1,6002,2657,8556,5,Y,Yes,11,3,3,80,0,8,5,3,5,2,0,4,2,0
41,No,1002,896,2002,6,3,3001,1,298,4,4000,75,3,3,5003,4,6002,13591,14674,3,Y,Yes,18,3,3,80,0,16,3,3,1,0,0,0,2,0
30,Yes,1001,334,2002,26,4,3002,1,299,3,4000,52,2,2,5007,1,6002,6696,22967,5,Y,No,15,3,3,80,0,9,5,2,6,3,0,1,2,0
29,Yes,1002,992,2001,1,3,3005,1,300,3,4001,85,3,1,5006,3,6002,2058,19757,0,Y,No,14,3,4,80,0,7,1,2,6,2,1,5,5,0
45,No,1000,1052,2002,6,3,3003,1,302,4,4000,57,2,3,5007,4,6002,8865,16840,6,Y,No,12,3,4,80,0,23,2,3,19,7,12,8,2,0
54,No,1002,1147,2002,3,3,3002,1,303,4,4000,52,3,2,5007,1,6001,5940,17011,2,Y,No,14,3,4,80,1,16,4,3,6,2,0,5,5,0
36,No,1002,1396,2001,5,2,3001,1,304,4,4001,62,3,2,5002,2,6002,5914,9945,8,Y,No,16,3,4,80,0,16,3,4,13,11,3,7,6,0
33,No,1002,147,2001,4,4,3003,1,305,3,4000,47,2,1,5006,2,6001,2622,13248,6,Y,No,21,4,4,80,0,7,3,3,3,2,1,1,2,0
37,No,1001,663,2001,11,3,3004,1,306,2,4001,47,3,3,5005,4,6000,12185,10056,1,Y,Yes,14,3,3,80,3,10,1,3,10,8,0,7,2,0
38,No,1002,119,2002,3,3,3001,1,307,1,4001,76,3,3,5007,3,6000,10609,9647,0,Y,No,12,3,3,80,2,17,6,2,16,10,5,13,5,0
31,No,1000,979,2001,1,4,3003,1,308,3,4001,90,1,2,5004,3,6001,4345,4381,0,Y,No,12,3,4,80,1,6,2,3,5,4,1,4,2,0
59,No,1002,142,2001,3,3,3001,1,309,3,4001,70,2,1,5006,4,6001,2177,8456,3,Y,No,17,3,1,80,1,7,6,3,1,0,0,0,4,0
37,No,1001,319,2002,4,4,3002,1,311,1,4001,41,3,1,5008,4,6000,2793,2539,4,Y,No,17,3,3,80,1,13,2,3,9,8,5,8,2,0
29,No,1001,1413,2002,1,1,3003,1,312,2,4000,42,3,3,5007,4,6001,7918,6599,1,Y,No,14,3,4,80,1,11,5,3,11,10,4,1,2,0
35,No,1001,944,2002,1,3,3002,1,314,3,4000,92,3,3,5007,3,6002,8789,9096,1,Y,No,14,3,1,80,0,10,3,4,10,7,0,8,5,0
29,Yes,1002,896,2001,18,1,3003,1,315,3,4001,86,2,1,5006,4,6002,2389,14961,1,Y,Yes,13,3,3,80,0,4,3,2,4,3,0,1,5,0
52,No,1002,1323,2001,2,3,3001,1,316,3,4000,89,2,1,5002,4,6002,3212,3300,7,Y,No,15,3,2,80,0,6,3,2,2,2,2,2,2,0
42,No,1002,532,2001,4,2,3005,1,319,3,4001,58,3,5,5003,4,6001,19232,4933,1,Y,No,11,3,4,80,0,22,3,3,22,17,11,15,5,0
59,No,1002,818,2000,6,2,3003,1,321,2,4001,52,3,1,5001,3,6001,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2,6,0
50,No,1002,854,2002,1,4,3003,1,323,4,4000,68,3,5,5003,4,6000,19517,24118,3,Y,No,11,3,3,80,1,32,3,2,7,0,0,6,2,0
33,Yes,1002,813,2001,14,3,3003,1,325,3,4001,58,3,1,5002,4,6001,2436,22149,5,Y,Yes,13,3,3,80,1,8,2,1,5,4,0,4,4,0
43,No,1002,1034,2002,16,3,3002,1,327,4,4000,80,3,4,5003,4,6001,16064,7744,5,Y,Yes,22,4,3,80,1,22,3,3,17,13,1,9,4,0
33,Yes,1002,465,2001,2,2,3001,1,328,1,4000,39,3,1,5002,1,6001,2707,21509,7,Y,No,20,4,1,80,0,13,3,4,9,7,1,7,2,0
52,No,1000,771,2002,2,4,3001,1,329,1,4001,79,2,5,5003,3,6002,19068,21030,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12,2,0
32,No,1002,1401,2002,4,2,3001,1,330,3,4000,56,3,1,5008,2,6001,3931,20990,2,Y,No,11,3,1,80,1,6,5,3,4,3,1,2,2,0
32,Yes,1002,515,2001,1,3,3001,1,331,4,4001,62,2,1,5002,3,6002,3730,9571,0,Y,Yes,14,3,4,80,0,4,2,1,3,2,1,2,7,0
39,No,1002,1431,2001,1,4,3003,1,332,3,4000,96,3,1,5002,3,6000,2232,15417,7,Y,No,14,3,3,80,3,7,1,3,3,2,1,2,7,0
32,No,1000,976,2002,26,4,3002,1,333,3,4001,100,3,2,5007,4,6001,4465,12069,0,Y,No,18,3,1,80,0,4,2,3,3,2,2,2,2,0
41,No,1002,1411,2001,19,2,3001,1,334,3,4001,36,3,2,5006,1,6000,3072,19877,2,Y,No,16,3,1,80,2,17,2,2,1,0,0,0,2,0
40,No,1002,1300,2001,24,2,3005,1,335,1,4001,62,3,2,5006,4,6000,3319,24447,1,Y,No,17,3,1,80,2,9,3,3,9,8,4,7,2,0
45,No,1002,252,2001,1,3,3004,1,336,3,4001,70,4,5,5003,4,6001,19202,15970,0,Y,No,11,3,3,80,1,25,2,3,24,0,1,7,5,0
31,No,1001,1327,2001,3,4,3003,1,337,2,4001,73,3,3,5005,3,6000,13675,13523,9,Y,No,12,3,1,80,1,9,3,3,2,2,2,2,2,0
33,No,1002,832,2001,5,4,3001,1,338,3,4000,63,2,1,5006,4,6001,2911,14776,1,Y,No,13,3,3,80,1,2,2,2,2,2,0,2,2,0
34,No,1002,470,2001,2,4,3001,1,339,4,4001,84,2,2,5004,1,6001,5957,23687,6,Y,No,13,3,2,80,1,13,3,3,11,9,5,9,2,0
37,No,1002,1017,2001,1,2,3003,1,340,3,4000,83,2,1,5006,1,6001,3920,18697,2,Y,No,14,3,1,80,1,17,2,2,3,1,0,2,4,0
45,No,1001,1199,2001,7,4,3001,1,341,1,4001,77,4,2,5004,3,6001,6434,5118,4,Y,No,17,3,4,80,1,9,1,3,3,2,0,2,6,0
37,Yes,1001,504,2001,10,3,3003,1,342,1,4001,61,3,3,5004,3,6000,10048,22573,6,Y,No,11,3,2,80,2,17,5,3,1,0,0,0,5,0
39,No,1001,505,2001,2,4,3005,1,343,3,4000,64,3,3,5000,3,6002,10938,6420,0,Y,No,25,4,4,80,0,20,1,3,19,6,11,8,5,0
29,No,1002,665,2001,15,3,3001,1,346,3,4001,60,3,1,5006,4,6002,2340,22673,1,Y,No,19,3,1,80,0,6,1,3,6,5,1,5,7,0
42,No,1002,916,2001,17,2,3001,1,347,4,4000,82,4,2,5006,1,6002,6545,23016,3,Y,Yes,13,3,3,80,0,10,1,3,3,2,0,2,4,0
29,No,1002,1247,2002,20,2,3002,1,349,4,4001,45,3,2,5007,4,6000,6931,10732,2,Y,No,14,3,4,80,1,10,2,3,3,2,0,2,2,0
25,No,1002,685,2001,1,3,3001,1,350,1,4000,62,3,2,5004,3,6001,4898,7505,0,Y,No,12,3,4,80,2,5,3,3,4,2,1,2,2,0
42,No,1002,269,2001,2,3,3003,1,351,4,4000,56,2,1,5002,1,6000,2593,8007,0,Y,Yes,11,3,3,80,1,10,4,3,9,6,7,8,6,1
40,No,1002,1416,2001,2,2,3003,1,352,1,4001,49,3,5,5005,3,6000,19436,5949,0,Y,No,19,3,4,80,1,22,5,3,21,7,3,9,2,0
51,No,1002,833,2001,1,3,3001,1,353,3,4001,96,3,1,5006,4,6001,2723,23231,1,Y,No,11,3,2,80,0,1,0,2,1,0,0,0,5,1
31,Yes,1001,307,2001,29,2,3003,1,355,3,4001,71,2,1,5002,2,6002,3479,11652,0,Y,No,11,3,2,80,0,6,2,4,5,4,1,4,6,0
32,No,1001,1311,2001,7,3,3001,1,359,2,4001,100,4,1,5002,2,6001,2794,26062,1,Y,No,20,4,3,80,0,5,3,1,5,1,0,3,2,0
38,No,1000,1327,2002,2,2,3001,1,361,4,4001,39,2,2,5007,4,6001,5249,19682,3,Y,No,18,3,4,80,1,13,0,3,8,7,7,5,5,0
32,No,1002,128,2001,2,1,3005,1,362,4,4001,84,2,2,5002,1,6002,2176,19737,4,Y,No,13,3,4,80,0,9,5,3,6,2,0,4,2,0
46,No,1002,488,2002,2,3,3005,1,363,3,4000,75,1,4,5003,2,6001,16872,14977,3,Y,Yes,12,3,2,80,1,28,2,2,7,7,7,7,6,0
28,Yes,1002,529,2001,2,4,3001,1,364,1,4001,79,3,1,5002,3,6002,3485,14935,2,Y,No,11,3,3,80,0,5,5,1,0,0,0,0,2,0
29,No,1002,1210,2002,2,3,3003,1,366,1,4001,78,2,2,5007,2,6001,6644,3687,2,Y,No,19,3,2,80,2,10,2,3,0,0,0,0,4,0
31,No,1002,1463,2001,23,3,3003,1,367,2,4001,64,2,2,5000,4,6001,5582,14408,0,Y,No,21,4,2,80,1,10,2,3,9,0,7,8,6,0
25,No,1000,675,2001,5,2,3001,1,369,2,4001,85,4,2,5000,1,6000,4000,18384,1,Y,No,12,3,4,80,2,6,2,3,6,3,1,5,2,0
45,No,1002,1385,2001,20,2,3003,1,372,3,4001,79,3,4,5000,4,6001,13496,7501,0,Y,Yes,14,3,2,80,0,21,2,3,20,7,4,10,2,0
36,No,1002,1403,2001,6,3,3001,1,373,4,4001,47,3,1,5002,4,6001,3210,20251,0,Y,No,11,3,3,80,1,16,4,3,15,13,10,11,6,0
55,No,1002,452,2001,1,3,3003,1,374,4,4001,81,3,5,5003,1,6002,19045,18938,0,Y,Yes,14,3,3,80,0,37,2,3,36,10,4,13,2,0
47,Yes,1000,666,2001,29,4,3001,1,376,1,4001,88,3,3,5003,2,6001,11849,10268,1,Y,Yes,12,3,4,80,1,10,2,2,10,7,9,9,6,0
28,No,1002,1158,2001,9,3,3003,1,377,4,4001,94,3,1,5006,4,6001,2070,2613,1,Y,No,23,4,4,80,1,5,3,2,5,2,0,4,5,0
37,No,1002,228,2002,6,4,3003,1,378,3,4001,98,3,2,5007,4,6001,6502,22825,4,Y,No,14,3,2,80,1,7,5,4,5,4,0,1,6,0
21,No,1002,996,2001,3,2,3003,1,379,4,4001,100,2,1,5006,3,6002,3230,10531,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0,6,0
37,No,1000,728,2001,1,4,3003,1,380,1,4000,80,3,3,5005,4,6000,13603,11677,2,Y,Yes,18,3,1,80,2,15,2,3,5,2,0,2,5,0
35,No,1002,1315,2001,22,3,3001,1,381,2,4000,71,4,3,5003,2,6000,11996,19100,7,Y,No,18,3,2,80,1,10,6,2,7,7,6,2,6,1
38,No,1002,322,2002,7,2,3003,1,382,1,4000,44,4,2,5007,1,6000,5605,19191,1,Y,Yes,24,4,3,80,1,8,3,3,8,0,7,7,5,0
26,No,1001,1479,2001,1,3,3001,1,384,3,4000,84,3,2,5004,2,6000,6397,26767,1,Y,No,20,4,1,80,1,6,6,1,6,5,1,4,6,0
50,No,1002,797,2001,4,1,3001,1,385,1,4001,96,3,5,5005,2,6000,19144,15815,3,Y,No,14,3,1,80,2,28,4,2,10,4,1,6,4,1
53,No,1002,1070,2001,3,4,3003,1,386,3,4001,45,3,4,5005,3,6001,17584,21016,3,Y,Yes,16,3,4,80,3,21,5,2,5,3,1,3,6,0
42,No,1002,635,2002,1,1,3001,1,387,2,4001,99,3,2,5007,3,6001,4907,24532,1,Y,No,25,4,3,80,0,20,3,3,20,16,11,6,3,0
29,No,1001,442,2002,2,2,3001,1,388,2,4001,44,3,2,5007,4,6002,4554,20260,1,Y,No,18,3,1,80,0,10,3,2,10,7,0,9,5,0
55,No,1002,147,2001,20,2,3005,1,389,2,4001,37,3,2,5002,4,6001,5415,15972,3,Y,Yes,19,3,4,80,1,12,4,3,10,7,0,8,6,1
26,No,1001,496,2001,11,2,3003,1,390,1,4001,60,3,2,5000,1,6001,4741,22722,1,Y,Yes,13,3,3,80,1,5,3,3,5,3,3,3,2,0
37,No,1002,1372,2001,1,3,3001,1,391,4,4000,42,3,1,5006,4,6002,2115,15881,1,Y,No,12,3,2,80,0,17,3,3,17,12,5,7,2,0
44,Yes,1001,920,2001,24,3,3001,1,392,4,4001,43,3,1,5002,3,6000,3161,19920,3,Y,Yes,22,4,4,80,1,19,0,1,1,0,0,0,6,0
38,No,1002,688,2001,23,4,3001,1,393,4,4001,82,3,2,5000,4,6000,5745,18899,9,Y,No,14,3,2,80,1,10,2,3,2,2,1,2,6,0
26,Yes,1002,1449,2001,16,4,3003,1,394,1,4001,45,3,1,5002,2,6000,2373,14180,2,Y,Yes,13,3,4,80,1,5,2,3,3,2,0,2,5,0
28,No,1002,1117,2001,8,2,3001,1,395,4,4000,66,3,1,5006,4,6002,3310,4488,1,Y,No,21,4,4,80,0,5,3,3,5,3,0,2,2,0
49,No,1001,636,2001,10,4,3001,1,396,3,4000,35,3,5,5005,1,6002,18665,25594,9,Y,Yes,11,3,4,80,0,22,4,3,3,2,1,2,2,0
36,No,1002,506,2001,3,3,3005,1,397,3,4001,30,3,2,5006,2,6002,4485,26285,4,Y,No,12,3,4,80,0,10,2,3,8,0,7,7,5,0
31,No,1001,444,2002,5,3,3002,1,399,4,4000,84,3,1,5008,2,6000,2789,3909,1,Y,No,11,3,3,80,1,2,5,2,2,2,2,2,2,0
26,Yes,1002,950,2002,4,4,3002,1,401,4,4001,48,2,2,5007,4,6002,5828,8450,1,Y,Yes,12,3,2,80,0,8,0,3,8,7,7,4,6,1
37,No,1001,889,2001,9,3,3003,1,403,2,4001,53,3,1,5006,4,6001,2326,11411,1,Y,Yes,12,3,3,80,3,4,3,2,4,2,1,2,6,0
42,No,1001,555,2002,26,3,3002,1,404,3,4000,77,3,4,5007,2,6001,13525,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8,2,0
18,Yes,1002,230,2001,3,3,3001,1,405,3,4001,54,3,1,5002,3,6002,1420,25233,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0,2,0
35,No,1002,1232,2002,16,3,3002,1,406,3,4001,96,3,3,5007,2,6001,8020,5100,0,Y,No,15,3,3,80,2,12,3,2,11,9,6,9,2,0
36,No,1001,566,2001,18,4,3001,1,407,3,4001,81,4,1,5002,4,6001,3688,7122,4,Y,No,18,3,4,80,2,4,2,3,1,0,0,0,2,0
51,No,1002,1302,2001,2,3,3003,1,408,4,4001,84,1,2,5004,2,6000,5482,16321,5,Y,No,18,3,4,80,1,13,3,3,4,1,1,2,5,0
41,No,1002,334,2002,2,4,3001,1,410,4,4001,88,3,4,5003,2,6002,16015,15896,1,Y,No,19,3,2,80,0,22,2,3,22,10,0,4,2,0
18,No,1002,812,2002,10,3,3003,1,411,4,4000,69,2,1,5008,3,6002,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,3,0
28,No,1002,1476,2001,16,2,3003,1,412,2,4001,68,4,2,5000,1,6002,5661,4824,0,Y,No,19,3,3,80,0,9,2,3,8,3,0,7,7,0
31,No,1002,218,2002,7,3,3005,1,416,2,4001,100,4,2,5007,4,6001,6929,12241,4,Y,No,11,3,2,80,1,10,3,2,8,7,7,7,2,0
39,No,1002,1132,2001,1,3,3003,1,417,3,4001,48,4,3,5000,4,6000,9613,10942,0,Y,No,17,3,1,80,3,19,5,2,18,10,3,7,5,0
36,No,1000,1105,2001,24,4,3001,1,419,2,4000,47,3,2,5002,2,6001,5674,6927,7,Y,No,15,3,3,80,1,11,3,3,9,8,0,8,2,0
32,No,1002,906,2002,7,3,3001,1,420,4,4001,91,2,2,5007,3,6001,5484,16985,1,Y,No,14,3,3,80,1,13,3,2,13,8,4,8,2,0
38,No,1002,849,2001,25,2,3001,1,421,1,4000,81,2,3,5005,2,6001,12061,26707,3,Y,No,17,3,3,80,1,19,2,3,10,8,0,1,5,0
58,No,1000,390,2001,1,4,3001,1,422,4,4001,32,1,2,5000,3,6000,5660,17056,2,Y,Yes,13,3,4,80,1,12,2,3,5,3,1,2,2,0
31,No,1002,691,2001,5,4,3005,1,423,3,4001,86,3,1,5006,4,6001,4821,10077,0,Y,Yes,12,3,3,80,1,6,4,3,5,2,0,3,6,0
31,No,1002,106,2000,2,3,3000,1,424,1,4001,62,2,2,5001,1,6001,6410,17822,3,Y,No,12,3,4,80,0,9,1,3,2,2,1,0,7,0
45,No,1001,1249,2001,7,3,3001,1,425,1,4001,97,3,3,5002,1,6000,5210,20308,1,Y,No,18,3,1,80,1,24,2,3,24,9,9,11,7,0
31,No,1002,192,2001,2,4,3001,1,426,3,4001,32,3,1,5006,4,6000,2695,7747,0,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2,2,0
33,No,1001,553,2001,5,4,3001,1,428,4,4000,74,3,3,5003,2,6001,11878,23364,6,Y,No,11,3,2,80,2,12,2,3,10,6,8,8,2,0
39,No,1002,117,2001,10,1,3003,1,429,3,4001,99,3,4,5003,1,6001,17068,5355,1,Y,Yes,14,3,4,80,0,21,3,3,21,9,11,10,6,0
43,No,1001,185,2001,10,4,3001,1,430,3,4000,33,3,1,5002,4,6002,2455,10675,0,Y,No,19,3,1,80,0,9,5,3,8,7,1,7,4,0
49,No,1002,1091,2001,1,2,3005,1,431,3,4000,90,2,4,5000,3,6002,13964,17810,7,Y,Yes,12,3,4,80,0,25,2,3,7,1,0,7,2,0
52,Yes,1002,723,2001,8,4,3003,1,433,3,4001,85,2,2,5006,2,6001,4941,17747,2,Y,No,15,3,1,80,0,11,3,2,8,2,7,7,2,0
27,No,1002,1220,2001,5,3,3001,1,434,3,4000,85,3,1,5006,2,6002,2478,20938,1,Y,Yes,12,3,2,80,0,4,2,2,4,3,1,2,6,0
32,No,1002,588,2002,8,2,3005,1,436,3,4000,65,2,2,5007,2,6001,5228,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,2,0
